                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.60464,                 1.7003,                0.86556,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                 0.0928,                 0.0008,                 0.0008
                      1,                0.43135,                0.51931,                0.83136,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.084666,              0.0016663,              0.0016663
                      2,                0.46999,                0.44436,                0.82172,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.076497,               0.002497,               0.002497
                      3,                0.52842,                 0.4414,                0.82037,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.068292,              0.0032921,              0.0032921
                      4,                0.55005,                0.45887,                0.81824,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.060052,              0.0040515,              0.0040515
                      5,                0.54681,                0.47571,                 0.8191,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.051775,              0.0047753,              0.0047753
                      6,                0.63461,                0.46604,                0.82538,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.043463,              0.0054634,              0.0054634
                      7,                0.73151,                  0.473,                 0.8303,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.035116,              0.0061159,              0.0061159
                      8,                0.71082,                0.47975,                0.83365,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.026733,              0.0067328,              0.0067328
                      9,                0.75162,                 0.5487,                0.82677,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.018314,               0.007314,               0.007314
                     10,                0.69455,                0.54017,                0.82549,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0098596,              0.0078596,              0.0078596
                     11,                0.69539,                0.61606,                0.83161,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.007822,               0.007822,               0.007822
                     12,                0.66683,                0.53433,                0.82278,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.007822,               0.007822,               0.007822
                     13,                0.71337,                0.55828,                0.82829,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.007624,               0.007624,               0.007624
                     14,                 0.7411,                0.49924,                0.83091,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.007426,               0.007426,               0.007426
                     15,                0.67868,                 0.5602,                0.83485,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.007228,               0.007228,               0.007228
                     16,                0.59555,                 0.4965,                0.82751,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.00703,                0.00703,                0.00703
                     17,                0.64929,                0.46472,                0.82862,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.006832,               0.006832,               0.006832
                     18,                0.62236,                0.46376,                0.82198,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.006634,               0.006634,               0.006634
                     19,                0.65903,                0.45345,                0.82172,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.006436,               0.006436,               0.006436
                     20,                0.60875,                0.42986,                0.82441,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.006238,               0.006238,               0.006238
                     21,                 0.5717,                0.42447,                0.82595,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.00604,                0.00604,                0.00604
                     22,                0.51586,                0.41956,                0.81758,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.005842,               0.005842,               0.005842
                     23,                0.53126,                0.42256,                 0.8228,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.005644,               0.005644,               0.005644
                     24,                0.48882,                0.41667,                  0.822,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.005446,               0.005446,               0.005446
                     25,                0.46944,                0.38647,                0.81592,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.005248,               0.005248,               0.005248
                     26,                0.45418,                0.37737,                 0.8173,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.00505,                0.00505,                0.00505
                     27,                0.49248,                0.38243,                 0.8223,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.004852,               0.004852,               0.004852
                     28,                0.46574,                0.34007,                0.81645,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.004654,               0.004654,               0.004654
                     29,                0.45507,                0.32701,                0.81285,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.004456,               0.004456,               0.004456
                     30,                0.46884,                0.32801,                0.80824,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.004258,               0.004258,               0.004258
                     31,                0.40439,                 0.3177,                 0.8036,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.00406,                0.00406,                0.00406
                     32,                0.42478,                 0.3231,                0.80362,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.003862,               0.003862,               0.003862
                     33,                0.40518,                0.31412,                0.80239,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.003664,               0.003664,               0.003664
                     34,                0.41275,                0.32452,                0.79828,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.003466,               0.003466,               0.003466
                     35,                0.38268,                0.31865,                 0.8037,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.003268,               0.003268,               0.003268
                     36,                0.37442,                0.32093,                0.80052,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.00307,                0.00307,                0.00307
                     37,                0.36486,                 0.3045,                0.79993,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.002872,               0.002872,               0.002872
                     38,                0.34851,                0.29631,                0.80349,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.002674,               0.002674,               0.002674
                     39,                0.34099,                0.28189,                0.79989,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.002476,               0.002476,               0.002476
                     40,                0.34999,                0.27844,                0.79219,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.002278,               0.002278,               0.002278
                     41,                0.30329,                0.26794,                0.78982,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.00208,                0.00208,                0.00208
                     42,                 0.3116,                0.26847,                0.79493,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.001882,               0.001882,               0.001882
                     43,                0.29585,                 0.2617,                0.79527,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.001684,               0.001684,               0.001684
                     44,                0.31235,                0.27194,                 0.8021,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.001486,               0.001486,               0.001486
                     45,                0.26581,                 0.2511,                0.79158,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.001288,               0.001288,               0.001288
                     46,                0.29566,                 0.2578,                0.79172,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.00109,                0.00109,                0.00109
                     47,                0.26025,                 0.2421,                0.78978,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.000892,               0.000892,               0.000892
                     48,                0.26597,                0.24383,                0.78983,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.000694,               0.000694,               0.000694
                     49,                0.25633,                0.24125,                0.78637,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.000496,               0.000496,               0.000496
