                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.60464,                 1.7003,                0.86556,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                 0.0928,                 0.0008,                 0.0008
                      1,                0.43173,                0.51906,                0.83133,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.084683,              0.0016832,              0.0016832
                      2,                0.47096,                0.44368,                0.82163,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.076549,              0.0025485,              0.0025485
                      3,                0.53481,                0.44442,                0.82046,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.068396,               0.003396,               0.003396
                      4,                 0.5577,                0.46431,                0.81875,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.060226,              0.0042258,              0.0042258
                      5,                0.54695,                0.49321,                0.81917,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.052038,              0.0050376,              0.0050376
                      6,                0.67226,                0.49102,                0.82897,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.043832,              0.0058317,              0.0058317
                      7,                0.74504,                 0.4848,                0.83255,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.035608,               0.006608,               0.006608
                      8,                0.75463,                0.46137,                0.84105,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.027366,              0.0073664,              0.0073664
                      9,                0.81949,                0.51432,                0.84048,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.019107,               0.008107,               0.008107
                     10,                0.79821,                0.54348,                0.83936,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.01083,              0.0088298,              0.0088298
                     11,                0.72207,                0.75365,                0.83562,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.008911,               0.008911,               0.008911
                     12,                0.64611,                0.60451,                0.82129,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.008911,               0.008911,               0.008911
                     13,                0.69733,                0.63578,                0.82772,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.008812,               0.008812,               0.008812
                     14,                0.81317,                0.50106,                0.83912,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.008713,               0.008713,               0.008713
                     15,                0.76034,                0.57397,                0.83987,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.008614,               0.008614,               0.008614
                     16,                0.65441,                0.57308,                0.83111,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.008515,               0.008515,               0.008515
                     17,                0.66952,                0.51263,                0.83659,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.008416,               0.008416,               0.008416
                     18,                0.72863,                0.49397,                0.84319,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.008317,               0.008317,               0.008317
                     19,                0.68172,                0.44858,                0.83131,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.008218,               0.008218,               0.008218
                     20,                0.72715,                0.49077,                0.84297,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.008119,               0.008119,               0.008119
                     21,                0.68723,                0.48026,                0.83446,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.00802,                0.00802,                0.00802
