                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.67469,                 2.2588,                0.88428,                0.00144,                0.00308,                0.00073,                0.00016,                    nan,                    nan,                    nan,                 0.0964,                 0.0004,                 0.0004
                      1,                0.49209,                0.87187,                0.85266,                0.00369,                0.00848,                 0.0019,                 0.0007,                    nan,                    nan,                    nan,               0.091882,             0.00088218,             0.00088218
                      2,                0.42974,                0.52711,                0.83901,                0.00592,                0.01311,                0.00305,                0.00134,                    nan,                    nan,                    nan,               0.087345,              0.0013446,              0.0013446
                      3,                 0.4294,                0.46347,                0.82642,                0.00901,                0.02082,                0.00956,                0.00487,                    nan,                    nan,                    nan,               0.082787,              0.0017871,              0.0017871
                      4,                0.45539,                 0.4533,                0.81805,                 0.0093,                0.02082,                0.00974,                0.00453,                    nan,                    nan,                    nan,                0.07821,              0.0022099,              0.0022099
                      5,                0.45317,                0.44468,                0.82063,                0.00813,                0.01773,                 0.0066,                 0.0027,                    nan,                    nan,                    nan,               0.073613,              0.0026129,              0.0026129
                      6,                0.52732,                0.42984,                 0.8194,                0.00915,                0.02082,                  0.005,                0.00198,                    nan,                    nan,                    nan,               0.068996,              0.0029961,              0.0029961
                      7,                0.53073,                0.42071,                0.81436,                0.00856,                0.02082,                0.00438,                0.00174,                    nan,                    nan,                    nan,               0.064359,              0.0033595,              0.0033595
                      8,                 0.5053,                0.45092,                0.81251,                0.00913,                0.02236,                0.00613,                0.00253,                    nan,                    nan,                    nan,               0.059703,               0.003703,               0.003703
                      9,                 0.5554,                0.44646,                0.80741,                0.00798,                0.02005,                0.00438,                 0.0018,                    nan,                    nan,                    nan,               0.055027,              0.0040268,              0.0040268
                     10,                0.56981,                0.46366,                 0.8149,                0.00634,                0.01696,                0.00323,                0.00163,                    nan,                    nan,                    nan,               0.050331,              0.0043308,              0.0043308
                     11,                0.55242,                0.44037,                0.81281,                0.00966,                0.02467,                0.00574,                0.00255,                    nan,                    nan,                    nan,               0.045615,               0.004615,               0.004615
                     12,                0.64583,                0.47766,                0.82764,                0.00452,                0.01157,                0.00228,                0.00121,                    nan,                    nan,                    nan,               0.040879,              0.0048794,              0.0048794
                     13,                0.52588,                0.45691,                0.81283,                0.00452,                0.01157,                0.00228,                0.00121,                    nan,                    nan,                    nan,               0.036124,              0.0051239,              0.0051239
                     14,                0.54409,                 0.5881,                0.81697,                 0.0106,                0.02467,                0.00607,                0.00313,                    nan,                    nan,                    nan,               0.031349,              0.0053487,              0.0053487
                     15,                0.57885,                0.50129,                0.81962,                0.00628,                0.01388,                0.00324,                0.00163,                    nan,                    nan,                    nan,               0.026554,              0.0055537,              0.0055537
                     16,                0.63433,                0.43114,                0.81672,                0.01086,                0.02621,                0.00626,                0.00339,                    nan,                    nan,                    nan,               0.021739,              0.0057389,              0.0057389
                     17,                0.79181,                0.47334,                0.84021,                0.01086,                0.02621,                0.00626,                0.00339,                    nan,                    nan,                    nan,               0.016904,              0.0059043,              0.0059043
                     18,                0.59413,                0.45397,                0.81986,                0.00936,                0.02159,                0.00499,                0.00239,                    nan,                    nan,                    nan,                0.01205,              0.0060498,              0.0060498
                     19,                0.64773,                0.46981,                0.81442,                0.01048,                0.02621,                0.00589,                0.00316,                    nan,                    nan,                    nan,              0.0071756,              0.0061756,              0.0061756
                     20,                0.77514,                0.52025,                0.83533,                0.01048,                0.02621,                0.00589,                0.00316,                    nan,                    nan,                    nan,                0.00604,                0.00604,                0.00604
                     21,                0.59651,                0.47054,                0.81166,                0.01121,                0.02853,                 0.0059,                0.00297,                    nan,                    nan,                    nan,                0.00604,                0.00604,                0.00604
                     22,                 0.5968,                0.41934,                0.81296,                0.01174,                0.03007,                0.00641,                 0.0033,                    nan,                    nan,                    nan,               0.005842,               0.005842,               0.005842
                     23,                0.72101,                0.52193,                0.82551,                0.01174,                0.03007,                0.00641,                 0.0033,                    nan,                    nan,                    nan,               0.005644,               0.005644,               0.005644
                     24,                 0.6113,                0.46634,                0.81671,                0.00967,                0.02544,                0.00499,                0.00233,                    nan,                    nan,                    nan,               0.005446,               0.005446,               0.005446
                     25,                0.58397,                0.44994,                0.81035,                0.00967,                0.02544,                0.00499,                0.00233,                    nan,                    nan,                    nan,               0.005248,               0.005248,               0.005248
                     26,                0.48975,                0.39764,                0.81714,                0.00847,                0.02236,                0.00433,                 0.0021,                    nan,                    nan,                    nan,                0.00505,                0.00505,                0.00505
                     27,                 0.5114,                0.40044,                0.81952,                 0.0084,                0.02236,                 0.0043,                0.00242,                    nan,                    nan,                    nan,               0.004852,               0.004852,               0.004852
                     28,                0.65134,                0.44263,                0.81863,                 0.0084,                0.02236,                 0.0043,                0.00242,                    nan,                    nan,                    nan,               0.004654,               0.004654,               0.004654
                     29,                0.56393,                0.42502,                0.81344,                0.00631,                0.01696,                0.00323,                0.00183,                    nan,                    nan,                    nan,               0.004456,               0.004456,               0.004456
                     30,                 0.5021,                0.41089,                0.80535,                 0.0071,                 0.0185,                0.00362,                0.00195,                    nan,                    nan,                    nan,               0.004258,               0.004258,               0.004258
                     31,                0.53434,                0.39189,                0.81638,                 0.0071,                 0.0185,                0.00362,                0.00195,                    nan,                    nan,                    nan,                0.00406,                0.00406,                0.00406
                     32,                0.47889,                0.37663,                0.81396,                0.00755,                0.01928,                0.00385,                0.00214,                    nan,                    nan,                    nan,               0.003862,               0.003862,               0.003862
                     33,                 0.4239,                0.36272,                0.80162,                0.00755,                0.01928,                0.00385,                0.00214,                    nan,                    nan,                    nan,               0.003664,               0.003664,               0.003664
                     34,                0.45503,                0.37397,                0.80925,                0.00688,                0.01696,                 0.0035,                0.00171,                    nan,                    nan,                    nan,               0.003466,               0.003466,               0.003466
                     35,                 0.4494,                 0.3705,                0.80894,                0.00511,                0.01234,                0.00259,                0.00132,                    nan,                    nan,                    nan,               0.003268,               0.003268,               0.003268
                     36,                0.42399,                0.35394,                0.80669,                0.00511,                0.01234,                0.00259,                0.00132,                    nan,                    nan,                    nan,                0.00307,                0.00307,                0.00307
                     37,                0.38732,                0.34214,                0.80673,                0.00658,                0.01542,                0.00334,                0.00169,                    nan,                    nan,                    nan,               0.002872,               0.002872,               0.002872
                     38,                0.39304,                0.34342,                0.80841,                0.00643,                0.01465,                0.00326,                0.00169,                    nan,                    nan,                    nan,               0.002674,               0.002674,               0.002674
                     39,                0.38065,                0.34196,                0.80737,                0.00643,                0.01465,                0.00326,                0.00169,                    nan,                    nan,                    nan,               0.002476,               0.002476,               0.002476
                     40,                0.38992,                0.33229,                0.80731,                0.00762,                0.01696,                0.00388,                0.00184,                    nan,                    nan,                    nan,               0.002278,               0.002278,               0.002278
                     41,                0.34822,                0.31575,                0.79983,                0.00762,                0.01696,                0.00388,                0.00184,                    nan,                    nan,                    nan,                0.00208,                0.00208,                0.00208
                     42,                0.38129,                 0.3216,                0.80194,                 0.0077,                0.01696,                0.00392,                0.00173,                    nan,                    nan,                    nan,               0.001882,               0.001882,               0.001882
                     43,                0.38667,                0.31873,                 0.8008,                0.00757,                0.01619,                0.00385,                0.00171,                    nan,                    nan,                    nan,               0.001684,               0.001684,               0.001684
                     44,                0.34241,                0.31336,                0.80171,                0.00757,                0.01619,                0.00385,                0.00171,                    nan,                    nan,                    nan,               0.001486,               0.001486,               0.001486
                     45,                0.31844,                0.29694,                0.80459,                0.00727,                0.01542,                 0.0037,                0.00176,                    nan,                    nan,                    nan,               0.001288,               0.001288,               0.001288
                     46,                0.28947,                0.28893,                0.80481,                0.00794,                0.01696,                0.00404,                0.00181,                    nan,                    nan,                    nan,                0.00109,                0.00109,                0.00109
                     47,                0.29902,                0.28963,                0.79758,                0.00794,                0.01696,                0.00404,                0.00181,                    nan,                    nan,                    nan,               0.000892,               0.000892,               0.000892
                     48,                0.28844,                0.28079,                0.79278,                0.00865,                 0.0185,                 0.0044,                0.00184,                    nan,                    nan,                    nan,               0.000694,               0.000694,               0.000694
                     49,                0.27684,                0.27431,                0.79957,                0.00865,                 0.0185,                 0.0044,                0.00184,                    nan,                    nan,                    nan,               0.000496,               0.000496,               0.000496
